# Combination of '2024wdg' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 71.31999, 8.5543, 60650.33953, 20.826, 0.735, 17.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60651.38675, 21.271, 0.898, 11.0, 10.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60651.389948, 20.245, 0.379, 29.0, 11.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60651.4081, 20.333, 0.391, 27.0, 10.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60652.438257, 20.611, 0.58, 21.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60652.908694, 20.292, 0.494, 28.0, 14.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60652.916117, 20.369, 0.644, 26.0, 17.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60654.427046, 20.277, 0.565, 28.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60654.463227, 20.519, 0.62, 22.0, 14.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60654.466894, 20.573, 0.643, 21.0, 14.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60655.403561, 19.899, 0.391, 40.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60660.439074, 19.359, 0.455, 66.0, 30.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60660.449102, 19.418, 0.444, 62.0, 28.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60660.930123, 18.712, 0.385, 119.0, 46.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60660.944245, 18.867, 0.309, 103.0, 32.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60660.9497, 19.648, 0.744, 50.0, 37.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60662.498353, 20.323, 0.726, 27.0, 20.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60662.5154, 19.49, 0.355, 58.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60663.184115, 20.311, 0.817, 27.0, 22.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60663.196411, 19.397, 0.336, 63.0, 21.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60664.915608, 20.39, 0.605, 25.0, 15.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60664.92448, 19.639, 0.336, 51.0, 17.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60667.151168, 20.476, 0.688, 23.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60667.154339, 20.611, 0.766, 21.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60667.184552, 21.128, 0.98, 13.0, 13.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60668.890345, 20.486, 0.427, 23.0, 10.0, ATLAS
c, 23.9, 71.31999, 8.5543, 60668.900312, 20.221, 0.335, 30.0, 10.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60671.144036, 19.567, 0.287, 54.0, 16.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60671.163167, 20.914, 0.863, 16.0, 14.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60672.386909, 20.084, 0.308, 34.0, 10.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60672.437808, 20.738, 0.525, 18.0, 10.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60674.376071, 20.647, 0.59, 20.0, 12.0, ATLAS
o, 23.9, 71.31999, 8.5543, 60674.418716, 20.386, 0.406, 26.0, 10.0, ATLAS
