ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60588.514457,20.718,0.585,19.0,11.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60589.023066,19.261,0.354,72.0,25.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60589.052443,19.86,0.514,41.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60590.594387,20.218,0.342,30.0,10.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60590.606287,20.281,0.448,28.0,13.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60592.430163,20.277,0.401,28.0,11.0,23.9,c
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60592.99542,20.149,0.586,32.0,19.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60592.997248,19.197,0.222,76.0,17.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60593.011205,19.869,0.459,41.0,19.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60596.496768,19.364,0.268,65.0,18.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60596.499932,19.561,0.317,54.0,17.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60596.50536,20.167,0.668,31.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60598.470201,20.544,0.788,22.0,17.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60598.472512,20.564,0.922,22.0,20.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60598.480831,19.802,0.455,44.0,20.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60598.483143,19.967,0.465,37.0,17.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60598.488225,19.708,0.359,48.0,17.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60599.212616,19.4,0.495,63.0,31.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60599.21443,19.359,0.425,66.0,28.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60599.21807,19.098,0.444,83.0,37.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60599.223062,19.844,0.651,42.0,27.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60599.231225,19.303,0.786,69.0,54.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60600.461588,18.357,0.521,165.0,86.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60600.47357,19.004,0.325,91.0,30.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60600.481428,19.592,0.529,53.0,28.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60605.584641,20.179,0.495,31.0,15.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60605.619491,20.324,0.56,27.0,15.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60607.217206,19.228,0.288,74.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60607.229987,19.564,0.297,54.0,16.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60608.491264,20.269,0.535,28.0,15.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60609.049669,19.667,0.307,49.0,15.0,23.9,o
