# Combined data from 'ATLAS-ZTF' for 'SN 2019cp'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
163.70851, -7.381, o, 58560.440029, 19.64, 0.545, 51, 28, 19.631074559755156, ATLAS-ZTF
163.70851, -7.381, o, 58565.464648, 21.605, 2.451, 8, 20, 21.64227503252014, ATLAS-ZTF
163.70851, -7.381, o, 58565.472524, 20.292, 0.489, 28, 14, 20.28210492164445, ATLAS-ZTF
163.70851, -7.381, o, 58565.480405, -20.719, 0.976, -19, 18, nan, ATLAS-ZTF
163.70851, -7.381, o, 58565.48781, 20.255, 0.641, 29, 18, 20.24400500525261, ATLAS-ZTF
163.70851, -7.381, o, 58566.421646, -17.514, 0.858, -358, 308, nan, ATLAS-ZTF
163.70851, -7.381, o, 58566.427905, 17.293, 0.738, 439, 324, 17.293838699394694, ATLAS-ZTF
163.70851, -7.381, o, 58566.431291, -17.848, 1.093, -264, 288, nan, ATLAS-ZTF
163.70851, -7.381, o, 58566.437441, 18.4, 1.954, 158, 310, 18.403357282613943, ATLAS-ZTF
163.70851, -7.381, o, 58566.439786, 14.37, 0.914, 6489, 5930, 14.369555564603115, ATLAS-ZTF
163.70851, -7.381, o, 58566.44565, 19.799, 5.951, 44, 260, 19.79136830878453, ATLAS-ZTF
163.70851, -7.381, o, 58566.448628, 16.296, 0.265, 1101, 292, 16.29553170257062, ATLAS-ZTF
163.70851, -7.381, o, 58566.454505, 19.3, 4.987, 69, 345, 19.30287727315686, ATLAS-ZTF
163.70851, -7.381, o, 58568.414741, 21.499, 1.511, 9, 14, 21.514393726401686, ATLAS-ZTF
163.70851, -7.381, o, 58568.423596, 20.809, 0.848, 17, 15, 20.823877696554312, ATLAS-ZTF
163.70851, -7.381, o, 58568.432168, 22.089, 2.448, 5, 13, 22.15257498915995, ATLAS-ZTF
163.70851, -7.381, o, 58568.441135, 20.466, 0.521, 24, 12, 20.449471895720983, ATLAS-ZTF
163.70851, -7.381, o, 58570.417838, 20.853, 0.635, 17, 10, 20.823877696554312, ATLAS-ZTF
163.70851, -7.381, o, 58570.42678, -22.123, 2.029, -5, 10, nan, ATLAS-ZTF
163.70851, -7.381, o, 58570.436431, 21.259, 1.077, 11, 12, 21.296518287104437, ATLAS-ZTF
163.70851, -7.381, o, 58570.445407, 21.202, 0.708, 12, 8, 21.202046884880936, ATLAS-ZTF
163.70851, -7.381, o, 58572.403452, -24.258, 17.667, -1, 13, nan, ATLAS-ZTF
163.70851, -7.381, o, 58572.412288, -20.959, 0.831, -15, 12, nan, ATLAS-ZTF
163.70851, -7.381, o, 58572.420646, 23.83, 12.5, 1, 13, 23.9, ATLAS-ZTF
163.70851, -7.381, o, 58572.429563, -22.972, 5.8, -2, 14, nan, ATLAS-ZTF
163.70851, -7.381, o, 58576.407112, 21.544, 1.465, 9, 13, 21.514393726401686, ATLAS-ZTF
163.70851, -7.381, o, 58576.415894, 20.717, 0.642, 19, 12, 20.703115997617928, ATLAS-ZTF
163.70851, -7.381, o, 58576.4241, -21.01, 0.797, -14, 11, nan, ATLAS-ZTF
163.70851, -7.381, o, 58576.432816, 23.007, 5.5, 2, 12, 23.147425010840045, ATLAS-ZTF
163.70851, -7.381, c, 58578.403248, 21.452, 0.973, 10, 9, 21.4, ATLAS-ZTF
163.70851, -7.381, c, 58578.408963, -24.88, 21.0, 0, 8, inf, ATLAS-ZTF
163.70851, -7.381, c, 58578.412381, 21.003, 0.586, 14, 8, 21.034679910804403, ATLAS-ZTF
