mjd,filter,uJy,duJy
59854.374096,o,38.0,10.0
59854.377261,o,58.0,11.0
59854.406849,o,69.0,11.0
59855.187907,o,38.0,16.0
59855.216314,o,33.0,18.0
59855.219922,o,76.0,16.0
59855.225775,o,47.0,16.0
59855.350246,o,45.0,12.0
59855.352092,o,12.0,12.0
59855.355351,o,39.0,13.0
59855.360804,o,62.0,12.0
59856.410057,o,35.0,12.0
59856.426539,o,33.0,11.0
59856.429772,o,60.0,11.0
59856.449047,o,51.0,8.0
59856.862143,o,60.0,18.0
59856.863956,o,33.0,17.0
59856.867112,o,10.0,17.0
59856.872543,o,45.0,16.0
59858.398779,o,29.0,14.0
59858.401559,o,34.0,15.0
59858.434048,o,61.0,13.0
59858.446569,o,27.0,24.0
59858.462325,o,38.0,16.0
59858.481774,o,44.0,33.0
59858.487028,o,36.0,31.0
59858.499954,o,81.0,33.0
59859.099288,o,85.0,28.0
59859.102894,o,33.0,34.0
59859.124624,o,-28.0,90.0
59859.140445,o,22.0,29.0
59864.401449,o,62.0,18.0
59864.404619,o,48.0,19.0
59864.410966,o,37.0,16.0
59864.421382,o,19.0,19.0
59864.471805,o,59.0,17.0
59864.491992,o,78.0,19.0
59864.495222,o,63.0,19.0
59864.502155,o,66.0,23.0
59866.423807,o,38.0,12.0
59866.427293,o,36.0,24.0
59866.43053,o,68.0,15.0
59866.440035,o,12.0,15.0
59866.440455,o,22.0,15.0
59866.460316,o,50.0,16.0
59867.454585,o,10.0,14.0
59867.47873,o,27.0,15.0
59867.481975,o,42.0,13.0
59867.487543,o,38.0,15.0
59868.375227,o,45.0,11.0
59868.378472,o,21.0,12.0
59868.400431,o,40.0,11.0
59868.400983,o,27.0,13.0
59868.404163,o,35.0,13.0
59868.408293,o,46.0,10.0
59868.409597,o,40.0,13.0
59868.420072,o,46.0,11.0
59870.375143,o,35.0,12.0
59870.377927,o,32.0,9.0
59870.388125,o,42.0,11.0
59870.393245,o,11.0,10.0
59871.27805,o,22.0,14.0
59871.280824,o,18.0,10.0
59871.283596,o,11.0,11.0
59871.295918,o,28.0,12.0
59872.423017,o,15.0,8.0
59872.448178,o,41.0,11.0
59872.450949,o,21.0,9.0
59872.468486,o,44.0,9.0
59872.867936,o,31.0,11.0
59872.870659,o,43.0,22.0
59872.878376,o,58.0,39.0
59872.891276,o,24.0,18.0
59874.436655,o,24.0,9.0
59874.439428,o,28.0,8.0
59874.447283,o,44.0,11.0
59874.457463,o,38.0,10.0
59875.375141,o,22.0,9.0
59875.378375,o,28.0,9.0
59875.395754,o,23.0,9.0
59875.411673,o,37.0,12.0
59876.368738,o,12.0,10.0
59876.371968,o,14.0,10.0
59876.407615,o,22.0,9.0
59876.436158,o,52.0,9.0
59876.857895,o,49.0,12.0
59876.860608,o,8.0,10.0
59876.871667,o,24.0,12.0
59876.876641,o,22.0,13.0
59878.364486,o,25.0,12.0
59878.372804,o,14.0,13.0
59878.375626,o,24.0,11.0
59878.387727,o,26.0,11.0
59879.356177,o,13.0,11.0
59879.441156,o,13.0,22.0
59879.444386,o,29.0,16.0
59880.405617,o,0.0,374.0
59880.431496,o,28.0,9.0
59880.43523,o,13.0,10.0
59880.454267,o,16.0,11.0
59880.799657,o,42.0,14.0
59880.818797,o,21.0,11.0
59880.830615,o,12.0,12.0
59882.366409,o,20.0,10.0
59882.369179,o,21.0,11.0
59882.375649,o,36.0,9.0
59824.35155089991,ZTF_g,65.61785054115917,9.352191087995074
59826.33952549985,ZTF_g,70.40851749286034,6.702344151269265
59829.400509300176,ZTF_g,98.49849618391083,11.044706468618278
59840.29486110015,ZTF_g,85.79105331753141,8.208032085447659
59840.388148100115,ZTF_g,82.85448076344464,7.948115036516983
59842.2958217999,ZTF_g,74.16189184766445,6.01058631182421
59844.27108799992,ZTF_g,66.67023715926885,6.439116426419242
59847.31410880014,ZTF_g,57.48863540282403,5.91266125665491
59849.28245369997,ZTF_g,49.35191394992043,7.24960161056506
59854.26675930014,ZTF_g,28.625956039314023,5.138083486187432
59856.28190970002,ZTF_g,28.665531590630902,7.737470448282761
59818.413333300035,ZTF_r,17.96056522751955,4.395079538228571
59824.36317129992,ZTF_r,57.472170625158164,7.647998530099994
59826.428692100104,ZTF_r,66.61346120715852,6.7435465349328725
59829.45718749985,ZTF_r,86.29364226665012,7.2769012198331575
59842.35744210007,ZTF_r,83.99626982774325,8.130082511401698
59844.31468749978,ZTF_r,78.6866036026863,6.113075654058324
59847.26231480017,ZTF_r,66.83149865224684,4.862368702776199
59849.31848380016,ZTF_r,58.01250248094604,8.124726061529849
59854.291261599865,ZTF_r,51.135346131169946,4.687704470708016
59856.307175899856,ZTF_r,52.53297547508279,5.608670182202431
59862.31697920011,ZTF_r,50.90494821739148,13.7652213971204
59864.26771989977,ZTF_r,42.383810577434936,10.729136526875859
59866.342453700025,ZTF_r,39.945218399911894,6.672175601721048
59871.29144679988,ZTF_r,29.903966671077022,5.612091284137019
