# Combined data from 'ATLAS-ZTF' for 'SN 2024jih'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
249.97834, 37.18252, o, 60470.395694, 18.107, 0.055, 208, 11, 18.104841662593095, ATLAS-ZTF
249.97834, 37.18252, o, 60471.368679, 18.747, 0.089, 115, 10, 18.74825539911597, ATLAS-ZTF
249.97834, 37.18252, o, 60471.370486, 18.629, 0.121, 128, 16, 18.631975075880327, ATLAS-ZTF
249.97834, 37.18252, o, 60471.374103, 18.937, 0.12, 97, 12, 18.933070664334387, ATLAS-ZTF
249.97834, 37.18252, o, 60471.375282, 19.138, 0.129, 80, 10, 19.14227503252014, ATLAS-ZTF
249.97834, 37.18252, o, 60471.377131, 19.461, 0.169, 60, 10, 19.45462187404089, ATLAS-ZTF
249.97834, 37.18252, o, 60471.379549, 19.2, 0.193, 76, 15, 19.197966019298022, ATLAS-ZTF
249.97834, 37.18252, o, 60471.3799, 19.319, 0.2, 68, 14, 19.318727718234406, ATLAS-ZTF
249.97834, 37.18252, o, 60471.384984, 19.343, 0.196, 66, 13, 19.351140161145327, ATLAS-ZTF
249.97834, 37.18252, o, 60472.475287, 19.69, 0.235, 48, 11, 19.69689690656103, ATLAS-ZTF
249.97834, 37.18252, o, 60472.480611, 19.285, 0.133, 70, 9, 19.287254899964356, ATLAS-ZTF
249.97834, 37.18252, o, 60472.487093, 19.054, 0.129, 87, 11, 19.051201868453454, ATLAS-ZTF
249.97834, 37.18252, o, 60472.524571, 18.97, 0.135, 94, 13, 18.967180366000754, ATLAS-ZTF
249.97834, 37.18252, o, 60473.413835, 18.963, 0.122, 94, 12, 18.967180366000754, ATLAS-ZTF
249.97834, 37.18252, o, 60473.417001, 19.318, 0.177, 68, 12, 19.318727718234406, ATLAS-ZTF
249.97834, 37.18252, o, 60473.422101, 19.185, 0.16, 77, 12, 19.183773187068795, ATLAS-ZTF
249.97834, 37.18252, o, 60473.458766, 19.281, 0.2, 70, 14, 19.287254899964356, ATLAS-ZTF
249.97834, 37.18252, o, 60474.401692, 19.976, 0.297, 37, 11, 19.97949568983251, ATLAS-ZTF
249.97834, 37.18252, o, 60474.427933, 19.118, 0.149, 82, 12, 19.115465369040706, ATLAS-ZTF
249.97834, 37.18252, o, 60474.431097, 19.26, 0.15, 72, 11, 19.256668758921826, ATLAS-ZTF
249.97834, 37.18252, o, 60474.45952, 20.056, 0.307, 34, 11, 20.07130270739436, ATLAS-ZTF
249.97834, 37.18252, o, 60475.39553, 19.686, 0.407, 48, 20, 19.69689690656103, ATLAS-ZTF
249.97834, 37.18252, o, 60475.398764, 19.88, 0.332, 41, 14, 19.86804035820066, ATLAS-ZTF
249.97834, 37.18252, o, 60475.40263, 19.41, 0.216, 62, 14, 19.419020776254364, ATLAS-ZTF
249.97834, 37.18252, o, 60475.404311, 19.566, 0.418, 54, 23, 19.569015600442576, ATLAS-ZTF
249.97834, 37.18252, o, 60475.405795, 19.427, 0.198, 62, 12, 19.419020776254364, ATLAS-ZTF
249.97834, 37.18252, o, 60475.411701, 19.736, 0.253, 46, 12, 19.743105420796063, ATLAS-ZTF
249.97834, 37.18252, o, 60475.415588, 19.713, 0.361, 47, 17, 19.719755355160704, ATLAS-ZTF
249.97834, 37.18252, o, 60475.44731, 19.64, 0.285, 51, 14, 19.631074559755156, ATLAS-ZTF
249.97834, 37.18252, o, 60476.410886, 18.801, 0.109, 110, 12, 18.796518287104437, ATLAS-ZTF
249.97834, 37.18252, o, 60476.415242, 18.835, 0.126, 106, 13, 18.836735336838075, ATLAS-ZTF
249.97834, 37.18252, o, 60476.421691, 19.525, 0.208, 56, 12, 19.529529932484497, ATLAS-ZTF
249.97834, 37.18252, o, 60476.456605, 19.757, 0.231, 45, 10, 19.76696871556164, ATLAS-ZTF
249.97834, 37.18252, o, 60477.403028, 20.094, 0.436, 33, 14, 20.10371515030528, ATLAS-ZTF
249.97834, 37.18252, o, 60477.407079, 20.117, 0.36, 33, 12, 20.10371515030528, ATLAS-ZTF
249.97834, 37.18252, o, 60477.415724, 19.736, 0.387, 46, 18, 19.743105420796063, ATLAS-ZTF
