# Combined data from 'ATLAS-ZTF' for 'SN 2018eyi'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
246.30213, 40.84029, c, 58400.241347, -20.406, 0.503, -25, 13, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58400.249983, 22.411, 2.929, 4, 12, 22.394850021680092, ATLAS-ZTF
246.30213, 40.84029, o, 58402.208889, 21.979, 3.45, 6, 20, 21.95462187404089, ATLAS-ZTF
246.30213, 40.84029, o, 58402.21596, -19.901, 0.408, -40, 16, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58402.221233, 21.476, 2.406, 9, 22, 21.514393726401686, ATLAS-ZTF
246.30213, 40.84029, o, 58402.232352, -21.18, 1.383, -12, 17, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58408.202862, 20.073, 0.949, 34, 32, 20.07130270739436, ATLAS-ZTF
246.30213, 40.84029, o, 58408.212655, -23.172, 8.143, -2, 16, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58408.216613, -22.123, 3.771, -5, 19, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58408.226879, 20.87, 1.02, 16, 17, 20.889700043360186, ATLAS-ZTF
246.30213, 40.84029, o, 58412.19679, -18.79, 0.541, -111, 60, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58412.200923, -24.345, 43.667, -1, 29, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58412.207598, -21.018, 1.252, -14, 18, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58412.214798, 20.682, 0.945, 19, 18, 20.703115997617928, ATLAS-ZTF
246.30213, 40.84029, o, 58414.195149, -18.786, 0.911, -111, 101, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58414.197913, -19.456, 0.925, -60, 56, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58414.202604, -19.953, 0.876, -38, 33, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58414.211831, 19.684, 0.627, 49, 30, 19.674509799928714, ATLAS-ZTF
