# Combined data from 'ATLAS-ZTF' for 'SN 2019noh'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
346.41982, 27.66598, o, 58773.404596, 20.398, 0.732, 25, 18, 20.405149978319905, ATLAS-ZTF
346.41982, 27.66598, o, 58773.406947, 21.013, 0.901, 14, 13, 21.034679910804403, ATLAS-ZTF
346.41982, 27.66598, o, 58773.407868, 19.07, 0.277, 86, 24, 19.06375387189108, ATLAS-ZTF
346.41982, 27.66598, o, 58773.41861, 20.996, 0.93, 14, 14, 21.034679910804403, ATLAS-ZTF
346.41982, 27.66598, o, 58773.419079, 20.512, 0.687, 23, 16, 20.495680409956016, ATLAS-ZTF
346.41982, 27.66598, o, 58773.42466, -20.209, 0.455, -30, 14, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58775.34587, 22.473, 3.512, 4, 13, 22.394850021680092, ATLAS-ZTF
346.41982, 27.66598, o, 58775.348678, 22.061, 2.0, 5, 11, 22.15257498915995, ATLAS-ZTF
346.41982, 27.66598, o, 58775.362116, -20.989, 0.704, -15, 10, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58775.369203, 19.783, 0.429, 44, 19, 19.79136830878453, ATLAS-ZTF
346.41982, 27.66598, o, 58777.372755, 22.637, 14.778, 3, 47, 22.707196863200842, ATLAS-ZTF
346.41982, 27.66598, o, 58777.375671, -19.708, 0.871, -48, 41, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58777.381325, -19.458, 0.725, -60, 43, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58777.392075, 19.883, 1.932, 40, 78, 19.894850021680092, ATLAS-ZTF
346.41982, 27.66598, c, 58779.380008, -19.495, 0.17, -58, 10, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58779.38373, -21.289, 0.888, -11, 10, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58779.397634, -20.216, 0.314, -30, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58779.408698, -20.481, 0.431, -23, 10, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58779.492324, -19.921, 0.281, -39, 11, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58781.309805, 19.845, 0.281, 42, 12, 19.841876774005247, ATLAS-ZTF
346.41982, 27.66598, o, 58781.312657, -22.861, 5.7, -3, 15, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58781.322445, -20.928, 0.714, -16, 11, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58781.334336, -23.42, 7.9, -2, 12, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58783.334372, -20.067, 0.269, -34, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58783.337208, -20.453, 0.389, -24, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58783.343381, -21.322, 1.041, -11, 11, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58783.353434, -21.118, 0.696, -13, 9, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58785.323067, -20.458, 0.407, -24, 10, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58785.328463, -20.935, 0.717, -15, 11, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58785.338401, -21.214, 0.991, -12, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58785.347119, 20.808, 0.613, 17, 11, 20.823877696554312, ATLAS-ZTF
346.41982, 27.66598, c, 58787.350145, -21.901, 1.469, -6, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58787.354048, -22.118, 1.725, -5, 9, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58787.359932, -21.34, 0.929, -11, 10, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58787.372868, -19.783, 0.182, -44, 8, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58789.320619, 21.824, 1.721, 7, 12, 21.787254899964356, ATLAS-ZTF
