ra, dec, objname, z, discoverydate
231.49381269500003, 46.3123614003, 2020kbw, -99999.0, -99999
231.278875, 11.585211, 2019hvj, -99999.0, -99999
238.65853400000003, 24.690822099999995, 2019huq, -99999.0, -99999
92.22516699999997, -39.693589, 2021adu, -99999.0, -99999
37.838202683599995, 43.46479134100001, 2020uea, -99999.0, -99999
278.10891699999996, 51.56878099999999, 2021zqc, -99999.0, -99999
150.97594894000002, 49.41953296999999, 2021hlw, -99999.0, -99999
120.09906926300002, 56.616561270100014, 2022ik, -99999.0, -99999
134.07795800000002, -0.4421389999999999, 2021dov, -99999.0, -99999
205.64786110000003, 30.190925266666675, 2022mzs, -99999.0, -99999
175.244021829, -11.449290088499998, 2020bpz, -99999.0, -99999
306.3505420000001, -22.719768999999992, 2021mfg, -99999.0, -99999
178.611208, 55.07398099999999, 2021huu, -99999.0, -99999
222.34155330000004, 9.675290300000002, 2021wvj, -99999.0, -99999
151.171708, 40.04205000000001, 2019ged, -99999.0, -99999
335.54732050000007, -4.006762400000001, 2019ihl, -99999.0, -99999
266.65385157599997, 20.504724955400004, 2020ocv, -99999.0, -99999
24.191333, -11.734250000000001, 2020obe, -99999.0, -99999
269.010458, 18.353911, 2021wuf, -99999.0, -99999
9.181837387529999, 33.10583564400001, 2020tul, -99999.0, -99999
220.22412400000002, 24.971657999999994, 2021lat, -99999.0, -99999
146.58929200000003, 3.0732690000000007, 2020jsh, -99999.0, -99999
299.2558288, 50.178525399999984, 2019gip, -99999.0, -99999
189.52669250000002, 8.046203800000004, 2019bbd, -99999.0, -99999
236.63324999999992, 22.537439000000006, 2021btm, -99999.0, -99999
175.56125000000003, 20.097519, 2020jee, -99999.0, -99999
191.33551979999996, 42.0608683, 2019bcw, -99999.0, -99999
329.5515498359999, -11.4728143556, 2021ybw, -99999.0, -99999
78.78752324444399, -16.027569955556, 2021ymm, -99999.0, -99999
129.83411829999997, 17.1880463, 2019blm, -99999.0, -99999
248.07225000000003, 50.190539, 2020jjh, -99999.0, -99999
358.642304, -25.094517499999995, 2022rng, -99999.0, -99999
243.36266830000008, 23.337555650000002, 2021bto, -99999.0, -99999
115.58841700000004, 12.165780999999996, 2021gjm, -99999.0, -99999
184.70266700000002, 5.737611, 2019ycb, -99999.0, -99999
209.03002099999995, 37.56434890000003, 2019iei, -99999.0, -99999
205.26646278000004, -25.60259172, 2021lny, -99999.0, -99999
324.24004227099994, 15.065422866799999, 2022rti, -99999.0, -99999
108.91970799999996, 30.769419000000003, 2020cvo, -99999.0, -99999
26.94648823333301, 42.004506133333, 2020vnq, -99999.0, -99999
8.9163659, 28.5566723, 2022ruz, -99999.0, -99999
33.676823882699985, 16.079980547300003, 2021wus, -99999.0, -99999
170.44322001874997, -5.47923689375, 2021mku, -99999.0, -99999
166.00091699999996, -18.776511, 2019vju, -99999.0, -99999
180.16706279999994, 51.84092220000001, 2021hzo, -99999.0, -99999
121.653625, 10.457411000000006, 2020urj, -99999.0, -99999
265.0734579999999, 17.694211, 2019fcf, -99999.0, -99999
269.992583, 44.86266899999999, 2020npb, -99999.0, -99999
317.4522080000001, 15.148581000000002, 2020uec, -99999.0, -99999
19.017083000000003, 37.64819399999999, 2021aceu, -99999.0, -99999
208.22802333300004, -28.5677566667, 2021akx, -99999.0, -99999
345.2900595609999, 23.487222753800005, 2020rlj, -99999.0, -99999
159.341910357, -7.366799450490001, 2021aip, -99999.0, -99999
253.789292, 26.663631000000002, 2021xgx, -99999.0, -99999
40.7493495, -19.194602199999995, 2022qsn, -99999.0, -99999
215.321764828, 35.5088184835, 2019fyi, -99999.0, -99999
328.446634566, 17.170839651199998, 2021vkc, -99999.0, -99999
28.161899520599995, -6.356123921140001, 2019opx, -99999.0, -99999
19.639125000000003, -0.22823899999999994, 2019vpz, -99999.0, -99999
230.812067754, 0.06494056648940001, 2020eci, -99999.0, -99999
199.92819720000006, -4.529190290080001, 2021ash, -99999.0, -99999
343.44317200000006, 51.4641863, 2022ssl, -99999.0, -99999
159.81090068, 20.29838276000001, 2021aadr, -99999.0, -99999
316.56478049899994, -7.41986978638, 2019oke, -99999.0, -99999
36.054916999999996, -10.504261, 2019xfx, -99999.0, -99999
251.45766699999993, 45.086311000000016, 2019pff, -99999.0, -99999
277.90462191250003, 30.91029304999999, 2021abza, -99999.0, -99999
37.911463636400015, 9.747703636360002, 2019pdy, -99999.0, -99999
108.405, 42.781181, 2020cvn, -99999.0, -99999
18.947390851699996, 1.5058049795800001, 2021wue, -99999.0, -99999
32.40532557142898, 15.29585495714301, 2020aar, -99999.0, -99999
29.91786819999999, 5.981967899999999, 2019wzy, -99999.0, -99999
195.494375, 28.00856900000001, 2021lxb, -99999.0, -99999
44.676166999999985, 32.573011, 2019ywf, -99999.0, -99999
257.3386738, 4.1711825, 2022rmj, -99999.0, -99999
65.96319250000002, -10.308440000000001, 2022udc, -99999.0, -99999
286.2489858, 50.73401430000001, 2021iio, -99999.0, -99999
215.13843000000003, -33.328625, 2020cbo, -99999.0, -99999
25.181031500000003, -14.478776399999994, 2022rnu, -99999.0, -99999
103.83558300000003, -36.37970000000001, 2020vwv, -99999.0, -99999
66.59145799999999, -10.098811000000001, 2020sjo, -99999.0, -99999
223.37659251999992, 17.289139645700004, 2020dhj, -99999.0, -99999
44.342537500000006, 10.325315000000003, 2022ruh, -99999.0, -99999
160.72753119999996, 21.6247591, 2019dwd, -99999.0, -99999
229.99642286000005, 20.71315379999999, 2020nef, -99999.0, -99999
30.274789, 15.3214668, 2022ssh, 0.073, 59817.0
135.278636862, 52.651037897399995, 2019dyo, 0.030003, 58598.0
105.29489695999999, 36.05989221999999, 2020bdx, 0.09, 58873.0
339.47339507500004, 9.957790299999997, 2020lip, 0.089, 58998.0
345.9128820380001, -8.036961789450002, 2020ysq, 0.08, 59153.0
195.09912456000004, -11.96550124, 2021msv, 0.054, 59352.0
203.07661295300002, 7.940466281300003, 2019vqm, 0.0236, 58813.0
158.42058299999997, -3.706660999999999, 2021hlp, 0.065, 59304.0
214.66593848200006, 19.7483519936, 2021fbc, 0.057, 59278.0
263.5254461, 8.512882399999997, 2021vio, 0.093, 59434.0
135.30583299999998, 10.437388999999994, 2021jys, 0.036, 59321.0
41.97477333329999, -32.5704166667, 2021xfo, 0.063, 59455.0
340.60247507199995, 6.960699087980002, 2021vju, 0.026657, 59435.0
224.67836583299993, 53.669292499999976, 2021jtb, 0.073349, 59318.0
203.78142888899998, -33.48313555559999, 2021ads, 0.013, 59227.0
355.32008299999995, 25.550018999999995, 2019mrw, 0.031375, 58700.0
222.24024999999997, 18.326688999999995, 2021min, 0.042097, 59349.0
113.68212057142998, 18.042491714285998, 2020amt, 0.045, 58871.0
184.1725830979999, 41.07836255769998, 2021bmi, 0.085, 59246.0
344.184167, 4.48365, 2020vbv, 0.053, 59129.0
46.83058166669999, 18.693358333300004, 2021yaj, 0.0615, 59461.0
316.2574739490001, 8.27390283353, 2020tnw, 0.075, 59106.0
324.73114175556, 34.205322844444, 2021lxg, 0.07, 59341.0
224.08781152799997, 9.33607126839, 2020mnw, 0.0808, 59013.0
45.470542000000016, 16.992881000000004, 2020tce, 0.06, 59105.0
198.72266700000003, 27.008638999999995, 2020jhf, 0.015371, 58977.0
167.879066032, 19.827278689600004, 2022eat, 0.027, 59641.0
278.6656771, 44.235858500000006, 2021wlw, 0.065, 59446.0
191.25050259, 21.1417000006, 2021igt, 0.075382, 59309.0
149.137458, 0.7522890000000001, 2021ghc, 0.046217, 59292.0
109.49186327399997, 43.57173514490001, 2020vax, 0.06, 59127.0
195.799262855, -6.6631930874000025, 2021khn, 0.072, 59323.0
229.81083809999993, 7.866461599999999, 2019igg, 0.047, 58658.0
17.002569411800007, 40.2334835294, 2022ydi, 0.05, 59871.0
245.807574984, 26.475942962799994, 2021nyt, 0.064524, 59363.0
45.451755, 36.2157575, 2022ruk, 0.04, 59812.0
232.55228799999998, 7.7653304, 2022mvc, 0.035027, 59746.0
198.256542, -19.512549999999997, 2021fxy, 0.0094, 59290.0
207.34910749999995, 35.0150525, 2023gqs, 0.026, 60058.0
347.408741833, 12.830001891300002, 2020ndv, 0.035, 59021.0
234.76485743999993, 31.19842962000001, 2020bqz, 0.054, 58881.0
243.439625, 22.920661000000003, 2020kyx, 0.031985, 58993.0
37.36896339999999, -5.848369300000001, 2022ssk, 0.042, 59819.0
228.032700503, 1.0604922562399999, 2019fcw, 0.087, 58616.0
148.00482892500003, 21.174140475, 2021cjx, 0.11, 59252.0
